1f91a-1f3fd	手の甲: 中間の肌色|中間の肌色|手|手の甲	raised back of hand: medium skin tone|back|backhand|hand|medium skin tone|raised
1f91a-1f3fe	手の甲: やや濃い肌色|やや濃い肌色|手|手の甲	raised back of hand: medium-dark skin tone|back|backhand|hand|medium-dark skin tone|raised
1f91a-1f3ff	手の甲: 濃い肌色|手|手の甲|濃い肌色	raised back of hand: dark skin tone|back|backhand|dark skin tone|hand|raised
1f590	開いた手|ストップ|パー|手|挙手	hand with fingers splayed|finger|fingers|hand|raised|splayed|stop
1f590-1f3fb	開いた手: 薄い肌色|ストップ|パー|手|挙手|薄い肌色|開いた手	hand with fingers splayed: light skin tone|finger|fingers|hand|light skin tone|raised|splayed|stop
1f590-1f3fc	開いた手: やや薄い肌色|ストップ|パー|やや薄い肌色|手|挙手|開いた手	hand with fingers splayed: medium-light skin tone|finger|fingers|hand|medium-light skin tone|raised|splayed|stop
1f590-1f3fd	開いた手: 中間の肌色|ストップ|パー|中間の肌色|手|挙手|開いた手	hand with fingers splayed: medium skin tone|finger|fingers|hand|medium skin tone|raised|splayed|stop
1f590-1f3fe	開いた手: やや濃い肌色|ストップ|パー|やや濃い肌色|手|挙手|開いた手	hand with fingers splayed: medium-dark skin tone|finger|fingers|hand|medium-dark skin tone|raised|splayed|stop
1f590-1f3ff	開いた手: 濃い肌色|ストップ|パー|手|挙手|濃い肌色|開いた手	hand with fingers splayed: dark skin tone|dark skin tone|finger|fingers|hand|raised|splayed|stop
270b	挙手|5|ストップ|パー|手	raised hand|5|five|hand|high|raised|stop
270b-1f3fb	挙手: 薄い肌色|5|ストップ|パー|手|挙手|薄い肌色	raised hand: light skin tone|5|five|hand|high|light skin tone|raised|stop
270b-1f3fc	挙手: やや薄い肌色|5|ストップ|パー|やや薄い肌色|手|挙手	raised hand: medium-light skin tone|5|five|hand|high|medium-light skin tone|raised|stop
270b-1f3fd	挙手: 中間の肌色|5|ストップ|パー|中間の肌色|手|挙手	raised hand: medium skin tone|5|five|hand|high|medium skin tone|raised|stop
